t_sec,u_mV
-7.6326225440430235,-86.83659073332257
-7.55758219218167,-71.73457495361424
-7.482541840320323,-51.598553914003276
-7.407501488458969,-80.5440841584441
-7.332461136597622,-44.04754602414914
-7.257420784736272,90.61209467824952
-7.1823804328749254,70.47607363863847
-6.882219025429524,108.23111308790916
-6.657097969845481,89.35359336327389
-6.50701726612278,60.40806311883301
-6.356936562400083,37.755039449270555
-6.20685585867739,23.91152498453806
-5.831654099370638,8.809509204829794
-5.606533043786595,0.0
-5.306371636341204,-1.2585013149757742
-4.480927765866358,0.0
-3.955645302836917,8.809509204829794
-3.205241784223425,21.394522354586684
-2.7549996730553303,32.72103418936791
-2.4548382656099363,41.53054339419771
-2.229717210025882,50.34005259902739
-1.8545154507191413,62.92506574878439
-1.4042733395510467,71.73457495361424
-0.9540312283829522,84.31958810337107
-0.4287487653535109,94.38759862317653
0.3216547532599776,93.1290973082009
0.47173545698267816,84.31958810337107
0.9219775681507727,70.47607363863847
1.14709862373482,57.89106048888158
1.3722196793188672,47.82304996907612
1.5973407349029145,33.97953550434352
1.747421438625615,21.394522354586684
1.9725424942096552,3.7755039449270384
2.2727039016550563,-10.068010519805625
2.422784605377757,-21.394522354586684
2.647905660961804,-33.97953550434363
2.948067068407198,-45.30604733912486
3.248228475852599,-56.632559173905975
3.848551290743387,-66.70056969371154
4.824075864940923,-75.51007889854134
5.499439031693065,-75.51007889854134
6.174802198445207,-76.76858021351705
6.925205717058695,-81.80258547341975
7.7506495875335375,-81.80258547341975
8.57609345800838,-85.57808941834685
9.851779439651317,-85.57808941834685
10.602182958264805,-85.57808941834685
11.127465421294247,-75.51007889854134
11.652747884323695,-69.21757232366292
12.328111051075837,-65.44206837873583
13.153554921550672,-65.44206837873583
13.603797032718767,-74.25157758356568
14.204119847609562,-78.02708152849277
15.029563718084404,-79.28558284346843
15.779967236697892,-84.31958810337119
16.230209347865987,-81.80258547341975
16.90557251461812,-81.80258547341975
17.355814625786223,-81.80258547341975
17.95613744067701,-83.06108678839547
